chan,address,fixture_type,label
355,8/161-200,P10 Profile HC M1,Mantel
361,5/309-318,ColorSource Fresnel V Direct,Mantel
362,5/319-328,ColorSource Fresnel V Direct,Mantel
363,5/329-338,ColorSource Fresnel V Direct,Mantel
364,5/339-348,ColorSource Fresnel V Direct,Mantel
411,5/117-128,S4 LED S3 Lustr X8 Direct,SR1
412,5/129-140,S4 LED S3 Lustr X8 Direct,SR1
413,45,Parcan,SR1
421,5/213-224,S4 LED S3 Lustr X8 Direct,SL1
422,5/225-236,S4 LED S3 Lustr X8 Direct,SL1
423,46,Parcan,SL1
431,5/141-152,S4 LED S3 Lustr X8 Direct,SR2
432,5/153-164,S4 LED S3 Lustr X8 Direct,SR2
433,51,Parcan,SR2
441,5/237-248,S4 LED S3 Lustr X8 Direct,SL2
442,5/249-260,S4 LED S3 Lustr X8 Direct,SL2
443,52,Parcan,SL2
451,5/165-176,S4 LED S3 Lustr X8 Direct,SR3
452,5/177-188,S4 LED S3 Lustr X8 Direct,SR3
453,57,Parcan,SR3
461,5/261-272,S4 LED S3 Lustr X8 Direct,SL3
462,5/273-284,S4 LED S3 Lustr X8 Direct,SL3
463,58,Parcan,SL3
471,5/189-200,S4 LED S3 Lustr X8 Direct,SR4
472,5/201-212,S4 LED S3 Lustr X8 Direct,SR4
473,63,Parcan,SR4
481,5/285-296,S4 LED S3 Lustr X8 Direct,SL4
482,5/297-308,S4 LED S3 Lustr X8 Direct,SL4
483,64,Parcan,SL4
491,,S4 LED S3 Lustr X8 Direct,Future Booms
492,,S4 LED S3 Lustr X8 Direct,Future Booms
496,,S4 LED S3 Lustr X8 Direct,Future Booms
497,,S4 LED S3 Lustr X8 Direct,Future Booms
501,2/1-40,P10 Profile HC M1,Old FoH
502,2/41-80,P10 Profile HC M1,Old FoH
503,2/81-124,P15 Profile HP M1,FoH Upper Left
504,2/125-168,P15 Profile HP M1,FoH Upper Right
511,265-276,S4 LED S3 Lustr X8 Direct,
512,277-288,S4 LED S3 Lustr X8 Direct,
513,289-300,S4 LED S3 Lustr X8 Direct,
514,301-312,S4 LED S3 Lustr X8 Direct,
515,313-324,S4 LED S3 Lustr X8 Direct,
516,325-336,S4 LED S3 Lustr X8 Direct,
521,337-348,S4 LED S3 Lustr X8 Direct,
522,349-360,S4 LED S3 Lustr X8 Direct,
523,361-372,S4 LED S3 Lustr X8 Direct,
524,373-384,S4 LED S3 Lustr X8 Direct,
525,385-396,S4 LED S3 Lustr X8 Direct,
526,397-408,S4 LED S3 Lustr X8 Direct,
551,2/477-481,ColorSource PAR 5ch,
552,2/482-486,ColorSource PAR 5ch,
553,2/487-491,ColorSource PAR 5ch,
554,2/492-496,ColorSource PAR 5ch,
601,2/169-212,P15 Profile HC M1,Club Truss
602,2/213-256,P15 Profile HC M1,Club Truss
603,2/257-300,P15 Profile HC M1,Club Truss
604,2/301-344,P15 Profile HC M1,Club Truss
605,2/345-388,P15 Profile HC M1,Club Truss
611,2/389-410,Robin 800 LEDWash M2,Club Truss
612,2/411-432,Robin 800 LEDWash M2,Club Truss
613,2/433-454,Robin 800 LEDWash M2,Club Truss
614,2/455-476,Robin 800 LEDWash M2,Club Truss
1001,507,House Light,House
1002,508,House Light,House
1003,509,House Light,House
1004,510,House Light,House
1011,7/507-509,ATMe,Haze
1012,7/510,theFAN 1ch,Fan
